title,salary,city,job,publish_date,requirements,responsibilities,url,source
Backend Developer (Kotlin) in Kazakhstan,,,,,,"Backend Developer (Kotlin) in Kazakhstan Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Andersen is hiring a Backend Developer (Kotlin) in Kazakhstan to build scalable backend solutions and support international digital projects across multiple industries.  Andersen is a pre-IPO software development company providing a full cycle of services. For over 19 years, we have been helping enterprises and middle-sized firms worldwide transform their businesses by creating effective digital solutions using innovative technologies.  Today, we are working with organizations from various parts of the world, including North America, Western Europe, Israel, Australia, and the UAE. Our expertise covers FinTech, Healthcare, Retail, Telecom, Media & Entertainment, Logistics, Travel & Hospitality, eCommerce, and other industries.  The project is focused on developing a next-generation business banking mobile application based on microservices architecture. It includes building new features, integrating modern technologies, and preparing the migration of corporate clients from the legacy platform to the new solution.  ​​​​​​​ Responsibilities:  Developing and maintaining a microservices architecture. Optimizing database performance and queries. Configuring monitoring, logging, and alerting. Handling deployment and infrastructure management. Conducting code reviews, mentoring, and designing architecture from scratch.  Must-haves:  Experience in Backend development for 3+ years. Strong proficiency in Kotlin and Java, including Kotlin data classes, sealed classes, extension functions, scope functions, Coroutines & Flow (structured concurrency, error handling, Flow operators), as well as Java Collections, Generics, and Stream API. Deep understanding of multithreading and JVM internals, including garbage collection, memory model, and performance tuning. Extensive hands-on experience with Spring Framework, including Spring Boot (auto-configuration, custom starters, profiles), Dependency Injection / IoC, Spring Data (R2DBC and JPA), Transaction Management, and Spring AOP. Advanced knowledge of PostgreSQL and SQL, including query optimization, EXPLAIN ANALYZE, indexing, complex queries, window functions, and CTEs. Proven production experience with Kafka, including producers, consumers, partitions, and offsets. Strong expertise in REST API design, including versioning, pagination, and error handling. Solid practical experience with Docker (optimized images) and advanced Git workflows (rebase, cherry-pick, conflict resolution). Hands-on experience with monitoring and observability tools such as Prometheus, Grafana, and Micrometer, including structured logging, correlation IDs, and alerting best practices. Strong understanding of microservices architecture, including patterns, anti-patterns, high availability, fault tolerance, and scalability. Good knowledge of software design principles, including SOLID, GoF patterns, and DDD basics. Experience with testing practices, including unit testing, integration testing, JUnit / Kotest, MockK, and Testcontainers. Level of English – from Intermediate+ and above.  Nice to haves:  Experience with database migration tools such as Liquibase or Flyway. Experience with Java 17+ features, including records, pattern matching, and sealed classes. Strong knowledge of Spring WebFlux / Reactive programming, including Mono, Flux, and backpressure principles. Experience with Spring Security, including OAuth2 and JWT authentication/authorization flows. Understanding of distributed transactions and consistency patterns. Practical experience with database scaling, including replication, sharding, and partitioning. Hands-on experience with Redis, including caching strategies, pub/sub, and distributed locks. Experience with Kubernetes, including deployments, services, ConfigMaps, and Secrets configuration. Practical experience building and maintaining CI/CD pipelines using Jenkins, GitLab CI, or GitHub Actions. Experience with distributed tracing tools such as Jaeger or Zipkin. Knowledge of event-driven architecture principles and patterns. Understanding of API lifecycle management. Experience with contract testing using Pact or Spring Cloud Contract. Experience with Camunda BPM or similar workflow/orchestration platforms. Background in fintech or banking systems.  Reasons why this job would be interesting to you:  Andersen cooperates with such companies as Siemens, Johnson & Johnson, AstraZeneca, BNP Paribas, Allianz, Ryanair, TUI, Verivox, Media Markt, etc.. For the past four years, our company has been growing annually by 60–100%, and we constantly involve top-notch specialists in our team. Andersen has mentoring and adaptation systems for new employees, and transparent performance review and assessment systems will allow you to determine your development path and plan your growth. The most important thing that we value in our employees is a commitment to continuous learning. The company supports them in this and gives them access to the best educational platforms, seminars, and practices. In addition, for over 19 years, Andersen has assembled a huge knowledge base and established a robust resource management institution. We have been strengthening our expertise since 2007. During this time, we have formed excellent teams with streamlined processes, where you can learn something new from your colleagues every day and enjoy your work. We are a cool young team of like-minded people communicating informally. You'll have a stable and competitive salary and an extensive benefits package. At Andersen, we have many different ways to grow. You can improve as a specialist or a manager, and all your activities will be decently rewarded.  Join us!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636812,qyzmet_deep_parser
Mobile Developer (Flutter) + UI/UX (Senior),,,,,,"Mobile Developer (Flutter) + UI/UX (Senior) Алма Телекоммуникейшнс Казахстан (almaPLUS) Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Айтиева, 23 РЕКЛАМА Описание вакансии  Мы ищем сильного мобильного разработчика, который не просто пишет код, а доводит продукт до уровня, когда им удобно пользоваться и он работает стабильно при любой нагрузке.  Чем предстоит заниматься: Разрабатывать мобильные приложения и развивать текущие продукты Отвечать за производительность: устранять лаги, фризы, падения Работать с нативными модулями Android/iOS Участвовать в архитектуре приложений Проводить код-ревью и улучшать качество кода в команде Настраивать и поддерживать CI/CD Писать unit и widget тесты Доводить интерфейсы до продуктового уровня (вместе с дизайном) Анализировать crash-логи и устранять проблемы Использовать AI-инструменты в разработке (с критической оценкой результата) Что важно: Коммерческий опыт в мобильной разработке от 3–5 лет Уверенный Senior в Flutter / Dart Реальные проекты в продакшене (не pet-проекты) Опыт оптимизации производительности (lag, ANR, memory leaks) Работа с нативными интеграциями (Kotlin / Swift) Понимание архитектуры мобильных приложений Опыт работы с CI/CD Опыт написания тестов Навык работы с UI/UX на уровне продукта, а не «по макету»  Условия:  Современный офис в центре города с кофе-аппаратами, двумя столовыми и зоной отдыха (Wi-Fi, настольный футбол для разрядки)  Стабильный доход и официальное оформление по ТК РК  Скидку 50% на услуги компании  Карьерные перспективы и рост внутри компании  Современные рабочие инструменты и команду профессионалов  Корпоративные мероприятия: тимбилдинги, конкурсы, викторины, спортивные и интеллектуальные активности  График 5/2, с 09:00 до 18:00  Если тебе ближе не «идеальные проекты», а реальные задачи — тебе к нам! Откликайся!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 8 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20607598,qyzmet_deep_parser
Python Developer,,,,,,"Python Developer Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Andersen is hiring a Python Developer for a project to build scalable microservices in a distributed system, ensuring high performance, fault tolerance, and reliable data processing.  The customer is a global digital platform in the urban services domain, operating a high-load marketplace that connects users and service providers in real time. The platform focuses on scalability, reliability, and data-driven product development, leveraging distributed systems and mobile technologies to support dynamic pricing and large transaction volumes across multiple regions.  The project is focused on developing and maintaining high-performance backend services in a distributed, event-driven environment. It involves building scalable microservices for data processing, business logic, and integrations, with a strong emphasis on fault tolerance and system scalability.  Responsibilities:  Creating robust, scalable, and reliable backend solutions aligned with business requirements. Driving technical research efforts, designing system architecture, and implementing backend services or new product features. Collaborating across teams to deliver cohesive, efficient, and optimal solutions. Actively participating in code reviews and architectural discussions. Contributing to raising the overall technical level of backend services. Writing clean, maintainable, and efficient code following company standards and best practices. Taking full ownership of backend service lifecycle, including delivery, monitoring, troubleshooting, and maintenance in production environments. Mentoring and supporting other engineers, promoting best practices and high engineering standards.  Must-haves:  Experience in backend development for 4+ years. Strong software system design skills with the ability to contribute meaningfully to overall architecture. In‑depth experience with event‑driven systems and deployment environments, as well as maintaining production services. Strong knowledge of Go and Python ecosystems, including frameworks for streaming, batch, and asynchronous data processing. Strong SQL expertise, including schema design, scaling strategies (replication, partitioning, sharding), and query optimization for high‑load applications. Experience working with Docker and a solid understanding of CI/CD pipelines. Knowledge of how Kubernetes (or analogs) and cloud infrastructure (e.g., AWS) operate. Experience with synchronous and asynchronous inter‑service communication patterns, especially those ensuring high reliability under heavy load. Knowledge of core microservices architecture patterns and deep understanding of efficient interactions between client and server systems, including limitations. Level of English – from Intermediate+ and above.  Nice-to-haves:  Proven experience designing and implementing full observability strategies (metrics, logging, dashboards, tracing).  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions - you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities.  Join us!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 13 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20573460,qyzmet_deep_parser
Java Developer in Almaty,,,,,,"Java Developer in Almaty Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Назарбаева, 226 Описание вакансии  Andersen is hiring a Java Developer in Almaty to build and maintain core banking services, enabling scalable digital products and seamless integration across the organization.  The customer is a large financial institution serving millions of retail and corporate clients. It combines a broad physical presence with strong investment in digital platforms, mobile solutions, data infrastructure, cybersecurity, and open integrations. Technology is central to improving customer experience and scaling modern banking services.  The project is focused on building and maintaining the bank’s core services that provide a foundational product and technology layer for the entire organization. This base infrastructure enables other teams to develop and extend their features without directly managing underlying core processes.  Responsibilities:  Designing the architecture of high-load distributed systems. Ensuring fault tolerance, data consistency, and idempotency in distributed environments. Optimizing application performance at the runtime and data-processing levels. Designing data schemas and ensuring efficient interaction with databases. Participating in the full software delivery lifecycle: containerization, orchestration, and configuring continuous integration and delivery. Implementing security practices, including access management, data protection, and attack prevention. Making architectural decisions and selecting the appropriate technology stack for product needs. Mentoring developers and conducting code reviews. Collaborating with the product team to clearly define and implement tasks.  Requirements:  Experience as a Java Developer for 2+ years. Experience with Java 11+ (Core, Collections, Streams, Concurrency). Experience working with the Spring Framework: Spring Boot, Spring MVC, Spring Data. Understanding SOLID principles, OOP, and Clean Code practices. Experience working with RESTful APIs. Basic knowledge of Hibernate / JPA. Experience working with PostgreSQL or MySQL. Understanding indexes, transactions, and ACID principles. Experience writing complex SQL queries. Experience using Git (GitFlow workflow). Experience working with Docker at the usage level. Understanding CI/CD processes. Basic Linux skills.  Nice to have:  Experience working with Kafka or RabbitMQ. Experience working with Redis or Memcached. Understanding of microservices architecture. Experience working with Spring Security, JWT, and OAuth2. Understanding of Kubernetes. Experience working with cloud platforms (AWS, GCP, or Azure). Experience working with fintech or high-load systems.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.; The opportunity to change the project and/or develop expertise in an interesting business domain; Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee; The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities; Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated; Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies); Certification compensation (AWS, PMP, etc); Referral program; English courses; Private health insurance and compensation for sports activities.  Your personal data is protected in accordance with GDPR regulations. Learn more:  Join us!  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 12 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20581860,qyzmet_deep_parser
Продакт-менеджер Open API,,,,,,"Продакт-менеджер Open API АО ""Банк ЦентрКредит"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Абая, 44 Описание вакансии  Миссия роли: Обеспечение разработки, развития и сопровождения продуктовой линейки API и SDK Банка в рамках стратегии Open API и Banking‑as‑a‑Service (BaaS), с целью масштабирования партнёрской экосистемы, ускорения интеграций и повышения повторного использования сервисов Банка.  Вам предстоит:  1. Продуктовая стратегия и управление бэклогом:  Формирование и развитие продуктового видения API‑платформы и SDK в соответствии со стратегией Open API и BaaS;  Разработка и поддержка product roadmap (кратко‑, средне‑ и долгосрочной), включая приоритезацию инициатив, MVP, релизов и deprecation‑циклов;  Определение метрик успеха (time‑to‑integrate, MAUпартнёров, NPS разработчиков/аналитиков).  2. Развитие SDK как продуктовой составляющей  Определение стратегии SDK (языки, платформы, версии): Java, .NET, JavaScript, Python, Mobile SDK и др.;  Формирование требований к SDK;  Обеспечение синхронизации lifecycle API и SDK (release management);  Контроль качества developer experience (DX): простота подключения, документация, примеры, шаблоны.  3. Проектирование API и требований  4. Доставка, сопровождение и качество:  Координация полного цикла разработки API и SDK: design → development → тестирование → релиз → поддержка; Взаимодействие с командами разработки, QA, DevOps; Контроль нефункциональных требований: безопасность, отказоустойчивость, производительность, SLA; Управление версиями, changelog, backward compatibility и процессами вывода API из эксплуатации.  5. Экосистема и партнёры  Анализ потребностей внешних и внутренних потребителей API (финтех‑компании, экосистемы, корпоративные клиенты, госорганы); Развитие и актуализация API‑каталога;  6. Регуляторика и кросс‑функциональное взаимодействие  Взаимодействие с юридическим, риск‑ и compliance‑блоками; Обеспечение соответствия API и SDK требованиям ИБ и ВНД Банка; Актуализация информации в Confluence.  Мы ожидаем, что у Вас есть:  Опыт не менее 2–3 лет в роли Product Owner/Product Manager в ИТ, финтехе или цифровых продуктах; Глубокое понимание принципов API‑first, Open API, Open Banking, BaaS; Практический опыт работы с API‑шлюзами, middleware, интеграционными слоями (ESB, event streaming); Навыки формализации требований и управления backlog (JIRA, Confluence); Понимание специфики банковской / финтех‑отрасли и работы с чувствительными данными; Опыт кросс‑функционального взаимодействия на стыке Product / IT / Legal / Risk. Опыт запуска и развития SDK или developer‑platform будет преимуществом; Технический бэкграунд или опыт работы с архитектурными командами . Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 7 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20607696,qyzmet_deep_parser
Frontend-разработчик (Senior) Freedom AI Labs,,,,,,"Frontend-разработчик (Senior) Freedom AI Labs Choco (ТОО Chocofamily) Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Сакена Сейфуллина, 506/99 РЕКЛАМА Описание вакансии Frontend Developer (Senior)  Проект: Freedom AI Labs  О проекте  Freedom AI Labs — это продукт на стыке AI и высоконагруженных веб-систем. Мы развиваем платформу с генеративным UI, real-time взаимодействием и сложной клиентской архитектурой, рассчитанную на масштабирование до миллионов пользователей.  Основные задачи Проектирование и разработка сложных frontend-фич с использованием Feature-Sliced Design (entities / features / widgets / shared) Развитие системы генеративного UI на базе AI-ответов в реальном времени (streaming-safe рендеринг, error boundaries, кеширование) Работа с SSE-стримингом (24+ типов событий: content_delta, tool_call, thinking_start и др.), реализация resume-логики и буферизации Поддержка real-time взаимодействия через WebSocket (Centrifugo), pub/sub модели и синхронизация состояний Разработка UI под Web + WebView (superapp): safe-area, native bridges, touch UX Управление сложным клиентским состоянием (multi-conversation state, IndexedDB/localStorage, server sync) Участие в переходе к микрофронтендам (Module Federation), развитие монорепозитория (Turborepo) Создание и развитие внутреннего UI-kit (Radix UI + Tailwind + design tokens) Оптимизация производительности (bundle size, lazy loading, code splitting) Настройка и поддержка CI/CD процессов (GitLab CI, Docker, Kubernetes) Участие в код-ревью, менторство, развитие инженерных практик (тестирование, документация, качество кода) Требования  Обязательные:  4–5+ лет коммерческой frontend-разработки Отличное знание React (включая React 19, Concurrent Features, Server Components) Уверенный TypeScript (сложные generics, discriminated unions) Опыт с Next.js (App Router, SSR/SSG, middleware, ISR, streaming) Опыт архитектуры FSD или аналогичных подходов Работа с SSE / EventSource и WebSocket (real-time системы) Отличное знание CSS, Tailwind, design tokens Опыт разработки UI-kit или дизайн-систем Понимание микрофронтендов и монорепо Опыт E2E / integration / unit тестирования (Playwright) Будет плюсом Опыт работы с AI / LLM продуктами (streaming responses, tool calls, dynamic UI) Опыт Centrifugo, pub/sub систем Опыт MCP (Model Context Protocol) или аналогов Работа с Framer Motion, Lottie, Three.js, Rive Опыт mobile WebView / superapp (native bridges) Observability: Sentry, Amplitude, feature flags (Unleash) OAuth2, финтех-проекты Storybook / Chromatic i18n / мультиязычные продукты Мы предлагаем Работа в AI-проекте на стыке frontend и генеративных технологий Современный стек: React 19, Next.js 15, SSE streaming, WebSocket, MCP, Framer Motion Сильная инженерная команда и культура аргументированных решений Возможность влиять на архитектуру продукта Офис в центре Алматы Обучение: курсы, книги, конференции Причина открытия позиции  Расширение команды в связи с ростом продукта  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 8 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20599624,qyzmet_deep_parser
Mobile Developer (React Native),,,,,,"Mobile Developer (React Native) Транслайн Интернэшнл Зарплата	от 600000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Манаса, 32А Описание вакансии  О проекте  Мы разрабатываем платформу Transline — цифровую экосистему для автоматизации логистики, взаиморасчетов и электронного документооборота между заказчиками и перевозчиками.  Сейчас усиливаем мобильное направление: приложение становится ключевым каналом для работы пользователей (документы, сделки, финансы, GPS и т.д.).  Технологический стек  React Native (CLI / Expo — по задаче) TypeScript Redux Toolkit / Zustand REST API / gRPC (через gateway) WebSocket (реалтайм обновления) Push-уведомления (Firebase / APNS) Git, CI/CD  (часть стека подтверждена из текущего описания )  Задачи:  Разработка мобильного приложения (iOS / Android) на React Native Интеграция с backend (REST / gRPC через gateway) Реализация бизнес-фич: работа с документами (ЭДО) статусы заказов / перевозок уведомления и события Работа с push-уведомлениями и фоновыми задачами Оптимизация производительности (FPS, memory, network) Проработка UX совместно с дизайнером Участие в проектировании API вместе с backend-командой  Требования:  Опыт React Native от 2+ лет Уверенное знание TypeScript Понимание архитектуры мобильных приложений Опыт работы с: REST API WebSocket состоянием (Redux / Zustand) Понимание жизненного цикла приложения (AppState, background tasks) Опыт публикации приложений (App Store / Google Play)  Будет плюсом:  Опыт с Expo Работа с нативными модулями (Swift / Kotlin) Опыт оптимизации производительности Знание gRPC Опыт работы с картами / GPS (очень релевантно для логистики)  Мы предлагаем:  Участие в продукте с реальным бизнесом (логистика + финансы + ЭДО) Влияние на архитектуру и ключевые решения Быстрые релизы без бюрократии Команду без “перекладывания ответственности” Официальное оформление График работы: 5/2 с 09.00-18.00 в офисе. ЗП от 600 000тг. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 20 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20534739,qyzmet_deep_parser
Go Developer,,,,,,"Go Developer Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Назарбаева, 226 РЕКЛАМА Описание вакансии  Andersen is hiring a Go Developer for a project building a platform for driver verification, enabling automated validation, compliance checks, and efficient onboarding processes.  The customer is a global digital platform in the urban services domain, operating a high-load marketplace that connects users and service providers in real time. The platform focuses on scalability, reliability, and data-driven product development, leveraging distributed systems and mobile technologies to support dynamic pricing and large transaction volumes across multiple regions.  The project is focused on developing a platform for verification of drivers and delivery partners across multiple service lines. It enables document uploading, automated validation, decision-making, and collaboration with administrative teams to ensure compliance and efficient onboarding processes.  Responsibilities:  Creating robust, scalable, and reliable backend solutions aligned with business requirements. Driving technical research efforts, designing system architecture, and implementing backend services or new product features. Collaborating across teams to deliver cohesive, efficient, and optimal solutions. Actively participating in code reviews and architectural discussions. Contributing to raising the overall technical level of backend services. Writing clean, maintainable, and efficient code following company standards and best practices. Taking full ownership of backend service lifecycle, including delivery, monitoring, troubleshooting, and maintenance in production environments. Mentoring and supporting other engineers, promoting best practices and high engineering standards.  Must-haves:  Commercial experience in backend engineering for 5+ years, including solving complex problems in high-load environments. Commercial experience with Go for 4+ years, including advanced language features. Strong SQL knowledge, including designing schemas, scaling strategies (replication, partitioning, sharding) and query optimization for high-load environment. In-depth knowledge of Redis, familiarity with various data structures, and its efficient use in high-load systems. Experience with Docker, understanding of CI/CD pipelines, and familiarity with Kubernetes (or similar) and cloud platforms (e.g., AWS). Experience with synchronous and asynchronous inter-service communication patterns, with a focus on reliability in high-load environment. Strong understanding of microservice architecture patterns and efficient client-server interactions. Proven ability to design and implement a full observability strategy, including metrics, logging, dashboards, and tracing. Strong problem-solving skills and the ability to work in collaborative environments. Interest in new technologies and continuous professional development. Level of English – from Intermediate+ and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities.  Join us!  Your personal data is protected in accordance with GDPR regulations.  Требования Опыт	Более 6 лет Условия работы График работы	Удаленная работа Добавлено 19 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20546525,qyzmet_deep_parser
Senior Developer (Flutter / Laravel / React),,,,,,"Senior Developer (Flutter / Laravel / React) Айм Ивент Зарплата	от 900000 до 1000000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, микрорайон Горный Гигант, улица Изима Искендерова, 22/1 Описание вакансии  ВАКАНСИЯ: Fullstack Developer (Flutter / Laravel / React)  Бренд: Группа компаний I AM EVENT  Мы лидеры ивент-индустрии и аренды оборудования в Казахстане. Наш бизнес-это сложная логистика, управление сотнями ресурсов и создание технологичных событий. Мы ищем Fullstack-разработчика уровня Мiddle, который усилит нашу IT-инфраструктуру и поможет перевести бизнес-процессы в элегантные цифровые решения.  Кого мы ищем: Ты уже перерос задачи Junior, стремишься к Middle и хочешь видеть реальный вклад своего кода в бизнес. Ты не просто ""пишешь функции"", а понимаешь, как автоматизация склада или CRM-системы влияет на прибыль и сервис.  Наш стек технологий: 📱 Mobile: Flutter 🖥️ Backend: Laravel 🌐 Frontend: React JS 🤖 AI-driven: Мы активно используем и поощряем работу с Claude и другими AI-инструментами для ускорения разработки.  Что нужно делать? 🔹 Разрабатывать продукты для ивент-индустрии (web & mobile). 🔹 Интегрировать системы логистики, аренды и клиентского сервиса. 🔹 Быстро находить оптимальные технические решения. 🔹 Быть проактивным: мы ценим идеи, которые делают продукт лучше! 💡  Что мы ждем от тебя: ✅ Опыт коммерческой разработки от 1.5-2 лет. ✅ Умение работать в динамичном темпе 🏎️ ✅ Интерес к сфере Event и понимание бизнес-процессов. ✅ Желание расти до Middle+ и выше.  Что предлагаем: 💰 ЗП: 900 000-1 000 000 тенге. 🚀 Свободу в выборе инструментов и поддержку AI-ассистентов. 📈 Реально сложные и интересные задачи, а не правку кнопок. 🤝 Команду, где ценят результат и драйв!  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 20 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20533230,qyzmet_deep_parser
Junior Frontend Developer (Angular),,,,,,"Junior Frontend Developer (Angular) Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Юрия Гагарина, 124 Описание вакансии  Andersen is hiring a Junior Frontend Developer (Angular) for a project building digital banking platforms, delivering web solutions for managing accounts, payments, and financial services.  The customer is a financial institution providing a wide range of services for individual and corporate clients. The company is undergoing an active digital transformation, focusing on mobile and online banking, modernization of legacy systems, and implementation of scalable architectures. It is also investing in fintech solutions, API integrations, and the development of ecosystem-driven products, while continuously improving engineering practices and development processes.  The project is focused on developing digital banking channels and building a modern online banking platform. It delivers web and mobile solutions for corporate clients, enabling efficient management of accounts, payments, transactions, and banking products.  Responsibilities:  Developing and maintaining the client-side of complex banking interfaces (personal accounts, dashboards, admin panels). Ensuring high performance and usability of interfaces. Implementing responsive and cross-browser user interfaces. Optimizing frontend performance to improve application load time and responsiveness. Participating in frontend architecture design. Conducting code reviews and following development standards. Participating in Agile team processes.  Requirements:  Experience in Angular development for 1+ years. Strong layout skills using HTML5, CSS (Tailwind), and SASS. Knowledge of JavaScript and TypeScript. Ability to write unit tests. Understanding of RESTful API principles. Knowledge of OOP and design patterns. Experience working with version control systems (Git). Level of English – from Intermediate and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.; The opportunity to change the project and/or develop expertise in an interesting business domain; Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee; The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities; Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated; Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies); Certification compensation (AWS, PMP, etc); Referral program; English courses; Private health insurance and compensation for sports activities.  Join us!  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Добавлено 19 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20543199,qyzmet_deep_parser
