title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
DevOps Engineer,,Алматы,Andersen,,"Andersen is hiring a DevOps Engineer for a project building a centralized Data Warehouse, ensuring automated reporting, improved data quality, and secure, scalable data processing. The customer is one of the most reliable financial institutions in Kazakhstan. It offers a full range of financial services for both individual and corporate clients, including business lending, mortgages, consumer loans, deposits, payment services, and digital banking solutions. The company focuses on reliability, innovation, and sustainable growth, helping clients achieve their financial goals and contributing to the country’s economic development. The project is focused on building a centralized Data Warehouse as a single source of truth for regulatory and internal reporting. It aims to automate reporting processes, improve data quality, reduce load on operational systems, and ensure secure, scalable data processing with modern infrastructure and CI/CD practices. Responsibilities: Building and maintaining enterprise on-premises infrastructure. Setting up CI/CD processes to automate deployment and testing. Maintaining infrastructure and system monitoring. Ensuring system security and stability. Implementing data encryption (at rest and in transit) to protect confidentiality. Applying PII masking and anonymization to meet security standards. Implementing RBAC to manage access and control user permissions at the object level. Defining data retention and archiving policies in compliance with regulatory requirements. Monitoring security and auditing all data operations. Integrating with Data Loss Prevention (DLP) systems. Ensuring high availability and fault tolerance for critical services. Providing scalability for handling large volumes of data. Implementing CI/CD pipelines for automated deployments. Monitoring performance using Prometheus and Grafana. Developing disaster recovery procedures. Conducting system resilience and failover testing. Must-haves: Practical experience in DevOps for 3+ years. Strong hands-on experience with on-premises infrastructure and virtualization platforms (VMware/KVM). Strong Linux administration skills. Practical experience with Docker and on-premises Kubernetes. Experience building and maintaining CI/CD pipelines (GitLab CI/CD, Jenkins). Experience working with Infrastructure as Code tools (Terraform, Ansible). Experience configuring and maintaining monitoring systems (Prometheus, Grafana). Experience implementing and maintaining centralized logging solutions (OpenSearch / ELK). Understanding of networking, RBAC, certificates, backup, and recovery processes. Experience launching production systems from scratch on local infrastructure. Strong communication and analytical skills. Level of English – from Intermediate and above. Nice-to-haves: Experience working with cloud platforms (AWS/Azure). Experience working with DWH, analytics platforms, or data-related projects. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities. Join us!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132639700
Support / DevOps Engineer,от 400 000 ₸ за месяц,Астана,ТОО SofiaGlobal,,"Support / DevOps Engineer (рост до Fullstack) Общие параметры Роль: Support / DevOps Engineer с треком роста в Fullstack Грейд: Middle-Junior → Middle Горизонт роста: Operations → Backend → Fullstack Development Основные обязанности Поддержка и развитие инфраструктуры Диагностика и устранение инцидентов (логи, сеть, сервисы) Настройка и сопровождение серверных сервисов Работа с контейнеризацией и деплоем Взаимодействие с разработкой и пользователями Участие в автоматизации процессов ОБЯЗАТЕЛЬНЫЕ НАВЫКИ Linux и инфраструктура systemd (services, timers, journalctl) SSH (key authentication, port forwarding, reverse tunnels) Сетевые настройки (iptables/ufw, routing, DNS) Умение диагностировать проблемы через логи Языки и базы данных Bash — чтение и доработка скриптов Python — понимание кода и внесение изменений SQL (PostgreSQL) — SELECT / JOIN / WHERE, базовые миграции Инструменты Git (ветки, PR, разрешение конфликтов) Docker (запуск, Dockerfile, docker-compose) Сети и инфраструктура HTTP, REST API, WebSocket, TCP/UDP TLS/SSL основы безопасности Nginx, DNS Языки Английский — чтение документации и код-ревью Русский — свободное владение ЖЕЛАТЕЛЬНЫЕ НАВЫКИ (ПЛЮС) Backend: Node.js / TypeScript (Express или аналоги) Frontend: React или современные фреймворки Hardware: Raspberry Pi / ESP32 / Arduino, UART / I2C / SPI GNSS / RTK, NTRIP / RTCM Computer Vision: OpenCV, YOLO SOFT SKILLS Способность самостоятельно разбираться в новых технологиях без готовых курсов Внимательность к деталям (конфигурации, сертификаты, координаты) Готовность к выездам на объекты (field work) Умение объяснять технические вещи нетехническим людям Ответственность и самостоятельность в решении задач Будет большим плюсом Личные проекты (Raspberry Pi / ESP32 / 3D printing) Open Source или публичные репозитории Опыт перехода из support/ops в разработку Опыт стартапов или самостоятельных проектов Навыки ведения технической документации Условия работы Формат работы: офис График: 5/2 Оклад Заработная плата: 400 000 ₸ на руки Возможность пересмотра по результатам работы и роста",,,1–3 года,,https://almaty.hh.kz/vacancy/132302974
DevOps Trainee,,Алматы,Andersen,,"International company Andersen, one of the leaders in the outsource production market, is recruiting for DevOps traineeship with further employment in Kazakhstan (in the office: Almaty or Kazakhstan remote). Andersen Company is interested in the rapid professional development of employees and improvement of their skills, is ready to invest funds and time. Therefore, our competitive advantage is considered to be rapid growth, in terms of salaries, among other things. Requirements: Intermediate or higher level of English (verbal communication); solid knowledge of Linux OS; experience of interaction with relational DBMS and understanding of data replication principles; understanding of Ci/CD conception; understanding of development principles; conception IaC (Infrastructure as Code); basic understanding of cloud providers (advantages/opportunities); understanding of application containerization; will be a plus: Intermediate or higher level of German. Conditions: practice on a training project under the guidance of experienced tutors; control of the trainee's knowledge mastery and feedback; office-based or remote format of training; corporate English language courses at the office or online; access to the corporate internal training programme (own educational platform); participation in the company's vibrant corporate life. An Andersen trainee can confidently count on: high professionalism of mentors; careful and attentive attitude during training; assistance and support during the training process and when entering a commercial project afterwards; guaranteed employment upon successful completion of training. Andersen is a great opportunity to start and grow in IT!",,,не требуется,,https://almaty.hh.kz/vacancy/132209051
Senior DevOps инженер,,Астана,АО Группа компаний Аллюр. Управляющая компания,,"Чем Вам предстоит заниматься: Эксплуатация и развитие Kubernetes-платформы с акцентом на отказоустойчивость и масштабируемость Архитектура и оптимизация CI/CD процессов (GitLab, GitLab Runner) Обеспечение единых стандартов инфраструктуры и окружений (Dev / Test / Prod) Развитие практик мониторинга, логирования и observability (Grafana, ELK, Prometheus, APM) Управление артефактами и данными (Nexus, MinIO), включая резервное копирование и оптимизацию хранения Внедрение и развитие подходов Infrastructure as Code Участие в анализе инцидентов и повышении надежности систем Кросс-функциональное взаимодействие с командами разработки, ИБ и инфраструктуры Формирование и поддержка технической документации и стандартов Поддержка и развитие ключевых ИТ-платформ компании. Ключевые компетенции: Практический опыт администрирования и сопровождения Kubernetes-кластеров Опыт настройки и поддержки CI/CD пайплайнов (GitLab, GitLab Runner или аналоги) Опыт стандартизации и поддержки окружений Dev / Test / Prod Опыт работы с системами мониторинга и логирования (Prometheus, Grafana, ELK, APM или аналоги) Опыт администрирования хранилищ артефактов и объектных хранилищ (Nexus, MinIO или аналоги) Навыки автоматизации процессов развертывания и конфигурации приложений Практический опыт применения Infrastructure as Code (Terraform или аналоги) Опыт анализа инцидентов и повышения отказоустойчивости систем. Мы предлагаем: Рабочий график 5/2, 09:00 - 18:00, обед с 13:00 до 14:00 Отпуск 24 календарных дня Работа в компании крупнейшего автопроизводителя страны, официального дистрибьютора и дилера брендов Kia, Chevrolet, JAC, JETOUR, Škoda, Geely Galaxy и Li Auto. Вы станете частью команды, насчитывающей более 5500 профессионалов, которые вместе создают будущее автомобильного рынка Карта лояльности со скидками в лучших медицинских учреждениях, фитнес-центрах, стоматологиях и других местах для заботы о здоровье Материальная помощь по памятным событиям Доступ к корпоративной библиотеке и обучению.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132558694
DataOps Engineer,,Алматы,ТОО Bilim Land (Bilim Group),,,"Развертывать и поддерживать инфраструктуру Data Platform Поддерживать и масштабировать MPP-хранилища данных Настраивать и администрировать серверы баз данных (конфигурация, производительность, отказоустойчивость) Разворачивать и сопровождать streaming-стек (Kafka, Debezium, Flink) Настраивать Kubernetes-инфраструктуру для data-сервисов Развивать CI/CD и GitOps процессы (ArgoCD, GitLab CI) Настраивать мониторинг и observability платформы (Prometheus, Grafana, Loki) Повышать отказоустойчивость и производительность системы Управлять доступами, secrets и backup/restore стратегиями Поддерживать orchestration-сервисы (Airflow) Участвовать в расследовании инцидентов и улучшении reliability платформы Взаимодействовать с командами Data Engineering и DevOps Наш технологический стек: Kubernetes + Helm Kafka / Debezium / Flink Airflow Postgres / Mysql ClickHouse / Vertica / Greenplum Prometheus / Grafana / Loki ArgoCD / GitLab CI Yandex Cloud / AWS Что мы ожидаем: Опыт работы с Kubernetes (production-кластеры) Опыт эксплуатации Kafka Опыт администрирования MPP-хранилищ (ClickHouse / Vertica / Greenplum) Понимание принципов CDC и потоковой обработки данных Опыт настройки CI/CD и GitOps Опыт работы с системами мониторинга (Prometheus, Grafana) Понимание распределённых систем и highload-инфраструктуры Опыт работы с облаками (Yandex Cloud или AWS) Будет плюсом: Опыт работы с Terraform, Ansible Опыт эксплуатации Flink Опыт построения Data Platform Опыт внедрения MLOps практик (Kubeflow, MLflow)",,3–6 лет,,https://almaty.hh.kz/vacancy/132659521
QA Engineer (Тестировщик),,Алматы,АО Нурбанк,,"Понимание методологий тестирования. Опыт тестирования mobile/web. Навыки тестирования API (REST, JSON). Умение работать с Jira, TestRail/Qase. Понимание API и клиент-серверной архитектуры. Готовность тестировать как UI, так и backend-процессы. Умение работать в условиях неполных требований.","Тестирование мобильных (iOS/Android) и web-приложений. Разработка тест-кейсов, проведение функционального и регрессионного тестирования. Проверка API через Postman. Анализ требований, поиск и документирование дефектов. Тестирование KYC, авторизации, платежей, переводов. Работа с Charles/Proxyman, логами, Sentry/Firebase. Участие в анализе требований. Подготовка тестовой документации (Test Plan, Test Report). Совместная работа с аналитиками и разработчиками для уточнения логики. Тестирование взаимодействия нескольких систем (end-to-end). Участие в улучшении QA-процессов. Работа с логами (Kibana/ELK), анализ ошибок и поиск первопричин. Оформление дефектов в баг-трекинговой системе (Jira/YouTrack), контроль их исправления. Взаимодействие с разработчиками, аналитиками, дизайнерами, DevOps и командой мобильной разработки.",,1–3 года,,https://almaty.hh.kz/vacancy/131942017
Team Lead DevOps engineer,,Нур-Султан (Астана),ЧК TargetAI Limited,,"TargetAI Limited 6 лет разрабатывает интеллектуальные системы видеонаблюдения и видеоаналитики. Наша платформа обрабатывает миллионы событий в реальном времени, повышая безопасность граждан и решая задачи крупного бизнеса.  Мы ищем руководителя DevOps команды, который будет отвечать за стабильную работу существующей инфраструктуры, развитие CI/CD процессов и координацию DevOps-команды.  Какие задачи предстоят: Настройка и поддержка существующих CI/CD процессов проекта. Пакетирование компонентов и их зависимостей. Сопровождение и настройка различных окружений (облако и физическое железо). Мониторинг инфраструктуры и реакция на инциденты. Руководство и координация работы команды DevOps. Что мы ждет от кандидата: Опыт работы с реляционными и нереляционными базами данных. Понимание принципов работы CRUD и взаимодействия компонентов. Опыт работы с Cassandra. Опыт работы с Qdrant, Redis. Опыт работы с брокерами сообщений. Умение и опыт работы с балансировщиками L4/L7. Опыт работы с OSS СХД (Minio / Ceph / SeaweedFS / GlusterFS). Понимание принципов работы Vault и опыт работы с политиками. Опыт проектирования и эксплуатации распределённых систем хранения данных и кластерных решений. Опыт проектирования и сопровождения систем бэкапирования БД. Уверенное знание Ansible, Bash. Понимание устройства сетей. Опыт работы с ОС Linux. Опыт работы с CI/CD системами (GitLab CI, GitHub Actions). Будет плюсом Опыт применения и внедрения Infrastructure as Code. Опыт построения мониторинга на базе Prometheus и Grafana. Мы предлагаем: Расширенное медицинское страхование; Компенсация занятий спортом; Доступ к образовательной платформе с мини-курсами и полными программами по разным направлениям.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132520615
QA Engineer,,Алматы,ТОО IT Space Apps,,"Опыт ручного тестирования API используя инструменты Postman/Insomnia/Swagger и т.д. Опыт работы в продуктовой команде; Понимание процессов разработки и тестирования (SDLC, STLC), подходов и практик Agile, Kanban, Scrum, etc.; Опыт работы с баг-трекинговыми системами (Jira, YouTrack, etc.); Знание SQL на уровне простых запросов, умение работать с СУБД PostgreSQL; Анализ логов Умение работать с TestFlight, AppTester, XCode; Работа с инструментами мониторинга HTTP/HTTPS трафика (Charles, Fiddler, etc.).","Проведение ручного функционального, smoke и регрессионного тестирования WEB и мобильных приложений; Создание, актуализация и сопровождение тестовой документации (чек-листы, тест-кейсы, тест-планы) Анализ требований, спецификаций и участие в планировании спринтов - выявление потенциальных рисков и точек отказа ещё на стадии проектирования; Тестирование API (REST/GraphQL); Анализ и воспроизведение багов, сбор логов, трассировок и другой технической информации; Мониторинг исправления дефектов в баг-трекинговой системе Jira; Взаимодействие с разработчиками, аналитиками и DevOps-инженерами для обеспечения высокого качества продукта на всех этапах; Участие в ретроспективах и QA-груммингах, предоставление предложений по улучшению процессов тестирования и разработки.",,1–3 года,,https://almaty.hh.kz/vacancy/132750601
IT Engineer,,Алматы,"Международный Аэропорт Алматы, АО",,"Founded in 1935, Almaty International Airport is the largest air gateway in Kazakhstan and, since 2020, has been part of TAV Airports, a member of the Groupe ADP – the world’s leading airport management platform operating in 29 countries. Our mission – connecting CIS countries to the world through a seamless, world-class travel experience. Our vision – by 2030, to become Asia’s most desired gateway with the largest number of destinations in Central Asia, delivering innovative travel and cargo experience, and driving sustainable growth for local communities. Our values – Safety & Responsibility, Customer & People Centricity, Innovation & Agility, Collaboration & Transparency, Excellence & Passion. We are committed to operational excellence, customer satisfaction, and continuous innovation, while upholding the highest standards of safety, sustainability, and service quality. Almaty Airport is looking for IT Engineers for Information Systems. We need specialists who have developed as engineers but are ready to take the next step into a coordinator or project manager role. It is important to speak the same language with technical specialists and understand the specifics of the systems you will be responsible for. The IT Engineer for Information Systems is responsible for the airport’s information systems and their stable operation. However, they do not personally maintain the systems. The main task of the engineer is to supervise the work of technical teams and contractors and act as a link between users, the airport, and the service providers. KEY RESPONSIBILITIES: Coordination and technical supervision of contractors providing IT systems and services, ensuring compliance with approved technical specifications, SLAs, and operational requirements. Monitoring IT project execution (timelines, milestones, quality, and readiness for operation), including participation in testing and technical acceptance of solutions. Identification of risks, deviations, and non-compliance in project and service delivery, with timely escalation to management. Control of work scope and budgets, verification of technical justification for invoices and completion certificates, and preparation of reports and analytical materials. QUALIFICATIONS & REQUIREMENTS: At least 3 years of experience in IT operations, system support, IT service coordination, and IT project support, including work with external contractors. Higher education in IT, computer science, engineering, or a related technical field. Solid understanding of IT infrastructure, corporate systems, IT service management and SLA models, project monitoring, reporting, and technical documentation, as well as IT and information security requirements. Confident user of MS Office; experience with service desk systems, corporate IT tools, and monitoring platforms. Advanced PC skills. Professional certifications will be an advantage; ability to work with technical and regulatory documentation and coordinate with contractors and authorities. Fluency in English, Russian, and Kazakh. WHAT DO WE OFFER: Employment in accordance with the Labor Code of the Republic of Kazakhstan Office location - Almaty International Airport Work schedule 5 days per week, working hours from 8.00 to 17.00 (lunch break from 12.00 to 13.00) Free lunches Hybrid work after probation period (working from home up till 5 days per month upon Line Manager's approval) Annual paid leave of 24 calendar days (+1 day for birthday after 1 year employment) Annual bonuses on performance results Medical Insurance after Probation period Shuttle bus (13 routes) Trainings, e-Learning Academy, and other online/offline platforms  Join our team today and become a vital part of our global airport family, comprising dedicated professionals who work together to ensure a future of seamless travel experiences",,,более 6 лет,,https://almaty.hh.kz/vacancy/132026532
Руководитель отдела бизнес-анализа,,Алматы,Публичная Компания «Freedom Finance Global PLC»,,"Высшее образование (ИТ, техническое, прикладная информатика, бизнес/системный анализ, управление проектами, экономика); Опыт работы от 3 лет в роли бизнес-аналитика или проектного менеджера; Глубокое понимание архитектуры и возможностей CRM-систем (опыт с Microsoft Dynamics 365 будет преимуществом); Навыки описания бизнес-требований, моделирования процессов и подготовки проектной документации; Понимание принципов интеграции CRM, работы БД и серверной инфраструктуры; Знание методологий Agile / Scrum / Waterfall; Опыт работы с task-tracker системами (Azure DevOps, Jira); Свободный технический английский будет преимуществом; Навыки менторинга и управления командой; Владение техниками prompt-engineering и работы с ИИ — как плюс; Знание основ информационной безопасности; Профильные сертификаты (CRM, Data Analysis, Project Management) будут преимуществом. Мы предлагаем: Ключевую управленческую роль в развитии корпоративной CRM-платформы; Влияние на архитектуру решений и бизнес-процессы компании; Работу с современным стеком Microsoft и масштабными бизнес-задачами; Профессиональное развитие и рост команды под вашим руководством.","Руководство командой бизнес-аналитиков: планирование, приоритизация задач, контроль сроков и качества, наставничество и развитие сотрудников; Развитие и оптимизация CRM-системы (MS Dynamics 365): от сбора требований до внедрения и анализа эффективности; Взаимодействие с бизнес-подразделениями: проведение интервью, формирование и согласование требований, user stories, ТЗ и аналитических моделей; Проектирование и описание бизнес-процессов (AS-IS / TO-BE), участие в оценке трудозатрат и поддержке команды разработки; Контроль тестирования нового функционала, качества документации и пользовательских инструкций; Настройка CRM-сущностей, workflows и отчетов с использованием no-code/low-code инструментов; Участие в проектных комитетах и формировании стратегии развития CRM-платформы; Обеспечение соблюдения требований информационной безопасности и управление операционными рисками в зоне ответственности.",,3–6 лет,,https://almaty.hh.kz/vacancy/131339981
