title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Middle PHP Backend-разработчик Krisha.kz,от 950 000 до 1 550 000 ₸ за месяц,Алматы,АО Kolesa (АО Колеса),,"Kolesa Group — международная IT-компания, строим классифайды для 12,5 миллионов пользователей. Наши продукты — kolesa.kz | krisha.kz | avtoelon.uz — помогают людям и бизнесам продавать и покупать авто, недвижимость, товары и услуги. Культура экспериментов, командный дух, технологии, постоянное развитие и желание достичь крутых результатов — отличительные черты Kolesa Team. О вакансии: Сейчас мы в поисках PHP разработчика в нашу команду (продукт Krisha.kz). В команде backend разработки 44 разработчика, которые не только горят желанием общаться и делиться опытом, но и воплощают в жизнь самые необычные идеи. Мы организовываем митапы, хакатоны, регулярно выступаем на конференциях и пишем статьи. Каждый месяц больше 15 миллионов людей пользуются нашими продуктами. Развивать и поддерживать наши сервисы – это бросать себе ежедневный вызов. Тебе предстоит: Развитие и поддержка лучших IT-продуктов Казахстана; Создание нового и оптимизация работы имеющегося функционала; Повышение надежности и качества системы на всех уровнях; Работа над нашими новыми проектами. Мы ждем от тебя: Отличное знание PHP; Умение работать с инфраструктурой: Linux, Docker, Nginx; Знание баз данных: MySQL, MongoDB, Redis; Умение работать с Git и системами сборки и деплоя (GitHub Actions или другие CI/CD); Способность оценивать сроки выполнения задач и соблюдать их, вовремя сигнализировать о проблемах; Написание и поддержка тестов; Навыки мониторинга, логирования, сбора и анализа метрик для предотвращения и решения проблем; Огромное желание расти и развиваться профессионально. Будет преимуществом: Знание других языков программирования и баз данных; Понимание микросервисной архитектуры и подходов к межсервисному взаимодействию; Опыт работы с Kubernetes; Знание языка Go или желание его выучить. Что приятного предлагаем: Гибридный формат с возможностью сочетать работу из дома и офиса (офис в г. Алматы); Работу в сильной команде, где ценятся взаимопомощь и ориентация на результат; Постоянный рост: система грейдирования, индивидуальные планы развития, менторство; Тематические мероприятия: квизы, киновечера, Family Day, тимбилдинги; Медицинскую страховку, оплату авиабилетов, фитнеса, образования и многое другое — твой выбор, куда использовать соцпакет; Обучение: мы оплачиваем участие в конференциях, тренингах, мастер-классах; Языковые курсы и огромная онлайн-библиотека; Корпоративные скидки от наших партнеров; Программа релокации для иногородних сотрудников. #referral",,,3–6 лет,,https://almaty.hh.kz/vacancy/132288348
DevOps разработчик,от 250 000 до 450 000 ₸ за месяц,Астана,ТОО ZIZ INC.,,Опыт работы с Django и Django REST Framework. Знание Celery и Redis. Опыт работы с PostgreSQL. Опыт использования Docker и Docker Compose. Знание ngnix и его настройки. Умение писать чистый и поддерживаемый код. Опыт работы с системой контроля версий Git. Уровень: Strong Junior или Middle.,Разработка и поддержка веб-приложений на Django. Создание RESTful API с использованием Django REST Framework. Реализация фоновых задач с помощью Celery и Redis. Работа с базами данных PostgreSQL. Настройка и оптимизация контейнеров Docker и Docker Compose. Использование ngnix-proxy для балансировки нагрузки. Ведение версии кода с помощью Git.,,1–3 года,,https://almaty.hh.kz/vacancy/132167340
Junior Technology Operations Engineer,,Алматы,Deloitte DKU,,"Deloitte DKU is represented in Kazakhstan and Uzbekistan, with offices in Astana, Almaty, Atyrau, and Tashkent. The Junior Technology Operations Engineer supports day-to-day IT operations by triaging and resolving end-user and infrastructure issues under guidance from senior engineers. This role focuses on learning Deloitte tools and processes, contributing to reliable service delivery across end-user, server, cloud, and network environments, and escalating appropriately when required. Key Responsibilities Level 1/2 service delivery Provide Level 1/2 support by following runbooks and knowledge articles; escalate complex issues to senior engineers. Complete assigned tickets within agreed SLAs, keeping priority and impact in mind. Support troubleshooting during incidents and follow escalation procedures; engage the appropriate support teams as required. Ensure high-quality service delivery through clear communication, good ticket hygiene, and timely follow-up with users. Incident, problem & operational excellence Track ticket resolution progress, spot recurring issues, and flag improvement opportunities to the team. Assist with incident analysis and root-cause investigations under guidance to help prevent repeat issues. Support system monitoring and respond to alerts by performing first-line checks and escalating when needed. Assist in preparing KPI/SLA reports and basic trend summaries for review by senior team members. Technical operations & troubleshooting Troubleshoot common hardware, software, and connectivity issues for end users (Windows, mobile devices, etc.). Support monitoring and basic maintenance activities for on-premises and cloud-based servers and virtualization platforms under guidance (Windows/Linux; Hyper-V). Support cloud environments (Azure, Google Cloud) by performing routine checks and assisting with operational tasks. Maintain and develop simple automation scripts (PowerShell; Bash as applicable) to improve repeatable tasks. Assist with user access and account administration tasks (Active Directory, Microsoft 365, IAM tools), including provisioning/deprovisioning following established procedures. Support backup operations and participate in disaster recovery testing activities (e.g., Veeam). Assist with troubleshooting network connectivity and core services (DNS, DHCP, VPN) and support network devices under guidance (e.g., Cisco). Process, documentation & stakeholder collaboration Work with ticketing and ITSM tools (ServiceNow); maintain accurate incident/problem/change records. Maintain and update technical documentation, knowledge base articles, and user guides to a high standard. Coordinate with system administrators, developers, security teams, and other departments. Participate in IT service implementation projects, audits, and compliance activities. Security & compliance Ensure adherence to Deloitte security policies and procedures, including relevant standards (e.g., ISO 27001, ISO 27701). Qualifications Education: Higher education in a technical field (e.g., IT, computer science, engineering). Experience: 2 years in IT support / IT operations (including internships). Exposure to enterprise environments is a plus. Leadership or people-management experience is not required. ITSM / Process: Basic understanding of incident, problem, and change management (ITIL knowledge is a plus). Experience with ticketing/ITSM tools (e.g., ServiceNow; Jira is a plus). Systems: Foundational knowledge of Windows (desktop) and basic Windows Server or Linux concepts; exposure to Microsoft 365 administration and Active Directory is an advantage. Cloud & virtualization: Exposure to virtualization (Hyper-V) and/or cloud platforms (Azure and/or Google Cloud) is preferred; willingness to learn is essential. Networking: Basic understanding of TCP/IP and common services (DNS, DHCP, VPN). Any exposure to networking hardware (e.g., Cisco) is a plus. Automation: Scripting for task automation (PowerShell; Bash as applicable). Operations tooling: Exposure to monitoring tools, backup solutions, patching, and endpoint protection practices is beneficial. Certifications (preferred): ITIL Foundation; Microsoft (e.g., MS-900/AZ-900); CompTIA (A+/Network+); Cisco (CCNA); or other relevant entry-level certifications. Languages: English, Russian. Core Competencies Professional, calm mindset with a customer-focused approach and willingness to learn. Good organization and time management; able to prioritize tasks with support from the team. Clear, professional communication with users, technical teams, and management. Analytical, structured troubleshooting and root-cause approach. Able to stay composed under pressure and follow incident procedures, escalating appropriately.",,,1–3 года,,https://almaty.hh.kz/vacancy/132521353
Product / Project Manager (IT / Digital Marketing),от 400 000 до 800 000 ₸ за месяц,Алматы,ТОО Tech Noir,,,"Рулить продуктом: превращать идеи в ТЗ и user stories, вести бэклог и строить дорожную карту вместе с разработчиками. Контролировать разработку: ставить задачи, следить за дедлайнами и принимать готовый функционал (мы за качество, а не за «заплатки»). Качать маркетинг: вести проекты по SEO, контексту и таргету, разрабатывать стратегии и анализировать, что реально приносит результат. Проверять гипотезы: анализировать поведение юзеров и находить то то самое «золото», которое поможет продукту расти Наш идеальный кандидат: Профи с бэкграундом: у вас за плечами 2+ года в управлении IT-проектами (Project / Product manager). Своих в digital: вы понимаете, как работают SEO, SMM и аналитика, и не боитесь цифр. Технически подкованных: умеете говорить с разработчиками на одном языке, четко ставить задачи и контролировать результат. Внимательных к деталям: аналитический склад ума для вас — это не просто строчка в резюме, а стиль работы. Будет плюсом: Опыт в продуктологии / продуктовой аналитике Знание Jira, Figma Опыт в стартапе или агентстве Базовое понимание веб-разработки",,1–3 года,,https://almaty.hh.kz/vacancy/132281072
Material Scheduler,,,ТОО Alstom,,"At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and trams, to turnkey systems, services, infrastructure, signalling and digital mobility, we offer our diverse customers the broadest portfolio in the industry. Every day, more than 80 000 colleagues lead the way to greener and smarter mobility worldwide, connecting cities as we reduce carbon and replace cars. Could you be the full-time Material Scheduler in Astana we’re looking for? Your future role Take on a new challenge and apply your analytical expertise in a new cutting-edge field. You’ll report to Lead Material Scheduler Ainur Kassenova and work alongside goal-oriented, intelligent teammates. You'll guarantee precise forecast of material needs for production. Day-to-day, you’ll work closely with teams across the business (Operations, Procurement, Engineering etc.), contribute to budget optimization and much more. You’ll specifically take care of calculating min/max for materials within scope, but also monitoring actual versus plan. We’ll look to you for: Manage the Materials Requirements Planning process to ensure materials are available for Operational requirements whilst meeting inventory budgets; To maintain & update MRP parameters in the business system, as well as the creation of new parts and management of obsolete material. To support the business through the provision of additional data in the form of reports and Key Performance indicators (KPI’s) as specified by the Supply Chain; To maintain all Material Master records. All about you We value passion and attitude over experience. That’s why we don’t expect you to have every single skill. Instead, we’ve listed some that we think will help you succeed and grow in this role: Analytical skills Experience with an ERP system (SAP, JDE, 1C, Axapta or other) Intermediate English Expert MS Excel proficiency Power BI and Power Query proficiency is desired Good communication and data management skills Things you’ll enjoy Join us on a life-long transformative journey – the rail industry is here to stay, so you can grow and develop new skills and experiences throughout your career. You’ll also: Enjoy stability, challenges and a long-term career free from boring daily routines Work with cutting-edge analytical tools Collaborate with transverse teams and helpful colleagues Contribute to innovative projects Utilise our agile working environment Steer your career in whatever direction you choose across functions and countries Benefit from our investment in your development, through award-winning learning Benefit from a fair and dynamic reward package that recognises your performance and potential, plus comprehensive and competitive social coverage (life, medical, pension). You don’t need to be a train enthusiast to thrive with us. We guarantee that when you step onto one of our trains with your friends or family, you’ll be proud. If you’re up for the challenge, we’d love to hear from you! Important to note As a global business, we’re an equal-opportunity employer that celebrates diversity across the 63 countries we operate in. We’re committed to creating an inclusive workplace for everyone.",,,1–3 года,,https://almaty.hh.kz/vacancy/129145027
Программист 1С,,Караганда,ТОО Сервис - процесс,,•Опыт работы • Знание казахского языка • Обязательное профильное образование •Знание Программы 1С • Желание обучаться новому • Наличие сертификатов 1С будет преимуществом,"•Сопровождение, разработка и участие во внедрении программных приложений на платформе 1С. •Поддержка пользователей, консультирование и проведение работ по оптимальной работе программных приложений 1С наших клиентов •Реализация доработок программного обеспечения (программирование) 1С Платформа 8; •Помощь в устранении ошибок пользователей; •Обновление и адаптация конфигураций системы «1С» •Разработка новых функциональных возможностей, включая отчеты и обработки.",,1–3 года,,https://almaty.hh.kz/vacancy/131948950
Разработчик БД MS SQL Server,,Алматы,"ALSECO, АО",,"Проект: Мы ищем разработчика баз данных в команду Разработки и поддержки программного обеспечения. Задачи команды – поддержание и развитие работающих информационных систем, автоматизирующих бизнес-процессы наших партнеров. Развитие масштабных информационных систем невозможно одним человеком, поэтому Вы будете взаимодействовать со всеми участниками команды: аналитиками, другими разработчиками, QA-инженерами, системными администраторами. Мы ищем активного и целеустремленного сотрудника, который станет членом команды и будет вместе с командой добиваться поставленных целей. Чем нужно будет заниматься: Разработкой структуры базы данных и хранимых процедур, функций, триггеров представлений и других программируемых объектов на языке T-SQL; Дорабатывать и исправлять баги в работе информационных систем, находящихся в эксплуатации, оптимизировать их работу; Дорабатывать существующие и разрабатывать новые алгоритмы расчетов; Участвовать в проектировании информационных систем. Мы ожидаем: Профильное высшее образование; Самоорганизованность и самодисциплину; Знание теории реляционных баз данных; Знание и опыт разработки на T-SQL; Знание IDE (MS SQL Management Studio/DBeaver/SQL Assistant Editor). Преимуществом будут следующие знания: Навыки анализа производительности и оптимизации запросов; MS SQL Profiler/ Extended Events; Sybase PowerDesigner; Основы установки, настройки и администрирования MS SQL Server; Основы нереляционных баз данных (MongoDB, Redis); Инструментарий разработчика: Postman, Консоль разработчика браузера; Git, JIRA; Базовые навыки DevOps (развёртывание и настройка прикладного программного обеспечения, навыки работы в Linux/Unix). Мы предлагаем: Режим работы: пятидневка, с 08-00 до 17-00 часов. Компенсация за обед. Отпуск 30 календарных дней. Мобильная связь. 13 заработная плата.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132026261
Бизнес-аналитик по BI/дашбордам,,Нур-Султан (Астана),ТОО KazInSys,,"О проекте Мы разрабатываем аналитические кейсы и дашборды для государственных и квазигосударственных организаций в рамках системы Smart Data Ukimet (SDU). В работе используем Apache Superset, PostgreSQL и другие инструменты для интеграции и визуализации данных. До конца 2025 года планируется реализация нескольких аналитических кейсов, в том числе для крупных государственных заказчиков. Обязанности Взаимодействие с заказчиком и стейкхолдерами на всех этапах проекта: интервью, воркшопы, согласования. Сбор и формализация требований к аналитическим кейсам и дашбордам. Подготовка и согласование Паспортов кейсов (цели, задачи, источники данных, показатели, формулы, методики). Разработка датафлоу (data flow diagrams) и описание логики работы витрин данных. Определение показателей и метрик, согласование формул расчета (при их отсутствии — разработка собственных методик). Согласование макетов дашбордов и визуализаций (Apache Superset) с заказчиком. Участие в проверке качества данных и валидации между источниками, SDU и расчетными витринами. Документирование бизнес-логики, требований и изменений по проекту. Подготовка презентаций и участие в защите аналитических кейсов перед заказчиком. Требования Опыт работы бизнес- или системным аналитиком от 2 лет, желательно в проектах BI или веб-разработки. Опыт взаимодействия с заказчиком: проведение интервью, согласований, защита решений. Понимание жизненного цикла BI-проекта: от сбора требований до запуска дашборда. Знание основ SQL и понимание структуры реляционных баз данных. Умение моделировать бизнес-процессы (BPMN 2.0) и строить датафлоу. Опыт подготовки технической и проектной документации (ТЗ, спецификации, отчеты). Понимание принципов работы систем интеграции данных (ETL/ELT). Навыки работы с BI-инструментами (Apache Superset, Power BI, Tableau — будет плюсом). Будет плюсом Опыт работы с проектами для государственных органов или квазигоссектора. Знание регламентов интеграции в SDU или аналогичные системы. Опыт работы с системами контроля качества данных. Базовые навыки работы в Apache Superset. Условия Участие в масштабных проектах государственного уровня. Работа в команде опытных BI-специалистов и разработчиков. Возможности для обучения и профессионального роста. Конкурентная заработная плата по итогам собеседования. Работа в офисе заказчика г. Астана АО ""НИТ"" территория ""Экспо"".",,,3–6 лет,,https://almaty.hh.kz/vacancy/132616185
Аналитик Bitrix24,,Астана,АО Группа компаний Аллюр. Управляющая компания,,"Чем Вам предстоит заниматься: Сбор и анализ бизнес-требований, выявление рисков и ограничений Подготовка технических заданий для разработчиков Взаимодействие с разработчиками и участие в проработке решений Координация задач с аналитиками по интеграциям и межсистемному обмену Подготовка и актуализация технической документации и схем процессов Участие в тестировании и приемке функционала с бизнес-пользователями Проведение демонстраций и обучение пользователей Сопровождение изменений требований в ходе реализации Выявление проблем и подготовка предложений по их решению Ключевые компетенции: Знание основ системного и бизнес-анализа Владение инструментами визуализации и моделирования процессов (например, BPMN, UML, draw.io, Miro и пр.) Понимание архитектуры и функционала Битрикс24 Навыки подготовки технических заданий Основы работы с PHP, REST API, интеграциями и межсистемным обменом данными Опыт работы с пользовательской и технической документацией Мы предлагаем: Рабочий график 5/2, 09:00 - 18:00, обед с 13:00 до 14:00 Отпуск 24 календарных дня Работа в компании крупнейшего автопроизводителя страны, официального дистрибьютора и дилера брендов Kia, Chevrolet, JAC, JETOUR, Li Auto, Škoda. Вы станете частью команды, насчитывающей более 5000 профессионалов, которые вместе создают будущее автомобильного рынка Карта лояльности со скидками в лучших медицинских учреждениях, фитнес-центрах, стоматологиях и других местах для заботы о здоровье Материальная помощь по памятным событиям Доступ к корпоративной библиотеке и обучению",,,3–6 лет,,https://almaty.hh.kz/vacancy/132550582
Старший Java-разработчик / Senior Java Spring Developer,,Нур-Султан (Астана),ТОО KazInSys,,"Краткое описание Ищем senior Java Spring разработчика для разработки и развития корпоративного портала. Роль включает проектирование backend-архитектуры, интеграции с внутренними системами, безопасность, поиск и внедрение AI-функций в production. Нам нужен не просто сильный Java backend-инженер, а senior-специалист, который умеет применять ИИ в реальной разработке: запускать чат-ботов для сотрудников, генерацию и суммаризацию контента, семантический поиск по документам и знаниям компании, автоматизацию бизнес-процессов и AI-анализ данных. Обязанности Проектировать и развивать backend корпоративного портала на Java/Spring. Реализовывать и поддерживать API, сервисы, интеграции и механизмы безопасности. Участвовать в архитектурных решениях: декомпозиция домена, границы сервисов, интеграционный контур, надежность и масштабирование. Разрабатывать AI-функции для корпоративного портала: чат-боты, генерация контента, семантический поиск, автоматизация бизнес-процессов, аналитические AI-сценарии. Строить и развивать контур интеллектуального поиска: индексация, retrieval, ranking, RAG/semantic search, работа с ElasticSearch. Интегрировать портал с внутренними системами компании, очередями сообщений, внешними API и сервисами авторизации. Обеспечивать качество инженерной практики: тестирование, code review, профилирование, observability, безопасное логирование, техническая документация. Менторить разработчиков, участвовать в декомпозиции задач и техническом лидерстве. Требования Обязательно 5+ лет коммерческой разработки на Java. 2+ года в роли senior/ведущего разработчика или с выраженной лидерской ответственностью. Уверенное владение Java 17+; опыт Java 11 в legacy-проектах будет плюсом. Сильное знание Spring Boot, Spring Security, Spring Data, REST API. Практический опыт проектирования корпоративных backend-систем, микросервисов или модульных сервисных архитектур. Понимание архитектуры, domain modeling, DDD-подхода, проектирования API и интеграций. Уверенная работа с SQL; понимание индексов, транзакций, производительности и типовых проблем вроде N+1. Коммерческий опыт с Kafka или RabbitMQ. Опыт работы с Docker и CI/CD. Опыт работы с ElasticSearch и задачами полнотекстового/семантического поиска. Опыт production-интеграции LLM/API ИИ, включая хотя бы часть сценариев: чат-боты, генерация контента, поиск по семантике, автоматизация бизнес-процессов, анализ данных. Умение проектировать безопасные системы: OAuth2/OIDC, JWT/SSO, RBAC/ABAC, audit trail, secrets management, безопасные интеграции. Практика unit/integration/API testing, code review, профилирования и оптимизации. Понимание требований GDPR и законодательства РК по персональным данным и их защите. Желательно Практический опыт с WebFlux/Reactor там, где нужен streaming или reactive I/O. Kubernetes на уровне уверенной эксплуатации сервисов. Опыт с NoSQL-хранилищами. Практический опыт со Spring AI, RAG, embeddings, tool/function calling, moderation, evaluation. Опыт с TensorFlow или PyTorch, если приходилось работать с model serving/inference или ML-пайплайнами. Опыт разработки корпоративных порталов, внутренних knowledge-систем, workflow/approval-сервисов, document-centric продуктов. Стек Обязательно: Java 17+, Spring Boot, Spring Security, Spring Data, REST, SQL, Docker, CI/CD, Kafka или RabbitMQ, ElasticSearch, OpenAI/LLM-интеграции. Желательно: Java 11 для legacy, WebFlux, Kubernetes, NoSQL, второй message broker, Spring AI, TensorFlow/PyTorch, observability stack, GitOps/ArgoCD/Jenkins/GitLab CI. Преимущества компании Уровень влияния на продукт: высокий — роль предполагает участие в архитектуре, качестве разработки и развитии AI-направления. Не «поддержка легаси ради поддержки», а продуктовая роль с влиянием на архитектуру и roadmap. Сложный корпоративный домен: доступы, контент, workflow, поиск, интеграции, AI. Возможность доводить AI-функции до production, а не ограничиваться прототипами. Высокая инженерная планка: архитектурные обсуждения, code review, тестирование, эксплуатационная зрелость.",,,не требуется,,https://almaty.hh.kz/vacancy/132619236
